sample,timestamp,temperature_C,humidity_RH,condition,R0,C0,R1,L1,C1,f_res_khz,Q_factor,r2_magnitude,r2_real,r2_imag
sample_10,2026-02-12 16:23:12,20.5,45.0,"20.5°C, 45.0%RH",247.4352505907359,1.1318385232061414e-09,1281.2646296432358,0.02,2.442472189229305e-11,227.7143082933737,22.333734390246644,-9.51443991012236,0.6937351643606584,-70.6571126521185
sample_0,2026-02-13 18:41:47,21.5,44.0,"21.5°C, 44.0%RH",229.8386613023735,1.9705418427651573e-09,364.5883721728812,0.02,3.363535373054704e-11,194.04708992981656,66.88275970413237,-2.09107726882339,0.9785281826306341,-24.85821538755692
sample_10,2026-02-13 18:41:47,21.5,44.0,"21.5°C, 44.0%RH",227.12177115134944,1.017097373154201e-09,1534.4670323513933,0.02,2.4761233127153365e-11,226.1616683918638,18.521292956153488,-12.720656148920924,0.7322340218174571,-90.05600595255983
sample_0,2026-02-16 17:28:36,20.3,51.0,"20.3°C, 51.0%RH",195.36516890226562,2.185295187888257e-09,309.9141736435482,0.019999998443914615,3.361282983444408e-11,194.11210189409704,78.70838544326442,-2.044238448457989,0.7970466235698734,-19.00336816269789
sample_10,2026-02-16 17:28:36,20.3,51.0,"20.3°C, 51.0%RH",236.04787601491762,1.05793317953045e-09,1456.4244901225247,0.02,2.4669390425047844e-11,226.58227063821565,19.550047440106656,-11.685622716797267,0.7266843153940282,-82.66654451516236
sample_0,2026-02-17 17:56:33,21.4,45.0,"21.4°C, 45.0%RH",175.82872893213784,2.248742406347492e-09,278.9464834038998,0.019999998367452775,3.364650706592121e-11,194.01493326646823,87.4025485958079,-2.1141333620918203,0.8635637293954497,-21.033608709280458
sample_5,2026-02-17 17:56:33,21.4,45.0,"21.4°C, 45.0%RH",775.3594730918053,3.034697585765137e-09,664.3082146887042,0.02,3.443551337565797e-11,191.77935463211222,36.27789621146048,-0.5675296723334149,0.978461417577098,-9.453449742634925
sample_10,2026-02-17 17:56:33,21.4,45.0,"21.4°C, 45.0%RH",181.99663347925187,8.356119472221711e-10,2100.0259341365645,0.02,2.5010202203015496e-11,225.0331670417264,13.465786929588626,-23.60209270646937,0.7672615442833486,-144.95350014418483
sample_0,2026-02-18 18:01:37,22.8,40.0,"22.8°C, 40.0%RH",158.2466407528143,2.0971564386352174e-09,281.2669763874172,0.0199999974506916,3.375734296617173e-11,193.69617002630685,86.53904486538875,-2.2345783307751197,0.9210712437192918,-21.860405834201952
sample_5,2026-02-18 18:01:37,22.8,40.0,"22.8°C, 40.0%RH",618.9453469039494,2.3519145654854615e-09,558.4404456762412,0.019999999776637623,3.4590972865987706e-11,191.34792097459814,43.05828639413545,-0.6280642604220192,0.9264126216166663,-15.509899040157546
