Frequency (Hz),Impedance (ohms),Phase (Radians),Temperature (C),Humidity (%)
49999.999999954525,0.00010240509918592989,0.0012907721129123049,0,0
50100.03334454893,9.804809390978276e-05,0.0012843780890316881,0,0
50200.06668893018,9.838766459402333e-05,0.0012871295960065034,0,0
50300.10003331142,9.872160502330703e-05,0.001289818258132146,0,0
50400.13337769267,9.907344759419179e-05,0.0012925768182548343,0,0
50500.166722287075,9.942121909333229e-05,0.0012953519564772654,0,0
50600.20006666832,9.977487978140724e-05,0.0012981036950305619,0,0
50700.233411049565,0.00010012213952017794,0.00130079797540058,0,0
50800.26675564398,0.00010048137441519998,0.0013035193073317282,0,0
50900.30010002522,0.00010083510859957381,0.001306245400901635,0,0
51000.33344440647,0.0001011937602721924,0.001308964445126027,0,0
51100.36678900087,0.00010155363199691996,0.0013116150744935204,0,0
51200.40013338212,0.00010191740575642047,0.001314331620391833,0,0
51300.43347776336,0.00010228330138250593,0.0013170698187799903,0,0
51400.46682235777,0.00010265160180431477,0.001319754906080334,0,0
51500.50016673902,0.00010301896095388147,0.0013224123304958202,0,0
51600.53351112026,0.00010339680992038304,0.0013251768880969987,0,0
51700.56685571467,0.00010376322638884383,0.0013278652648226882,0,0
51800.60020009591,0.00010413610215642436,0.0013304979532210055,0,0
51900.63354447716,0.00010450848442275638,0.0013331853860565248,0,0
52000.6668888584,0.00010489073974869257,0.0013358993319052335,0,0
52100.700233452815,0.00010526357793813252,0.001338531847488854,0,0
52200.73357783406,0.00010564782737633422,0.001341273296109394,0,0
52300.766922215305,0.00010602854673007192,0.001343929307235365,0,0
52400.80026680971,0.00010641240851587302,0.0013465629906268112,0,0
52500.83361119096,0.00010679441905805188,0.0013492686730554747,0,0
52600.8669555722,0.00010718066601196181,0.0013519190773585142,0,0
52700.900300166606,0.00010757202041534974,0.001354636053095085,0,0
52800.933644547855,0.00010796443240743263,0.0013573148056421963,0,0
52900.966988929096,0.00010835110311391101,0.0013599523284304267,0,0
53001.00033352351,0.00010874383892981628,0.0013626413375224808,0,0
53101.03367790475,0.00010913973018873456,0.0013653376254974237,0,0
53201.067022286,0.00010953658583169334,0.0013679894609515523,0,0
